country_clean,country_pl,iso3,n_records,n_products,n_main_categories,n_sub_categories,median_price_ppp,mean_price_ppp,min_price_ppp,q1_price_ppp,q3_price_ppp,max_price_ppp,iqr_price_ppp,mean_rating,median_rating_count,ppp_year,currencies,price_range_ppp,price_index_ppp,compared_products_ppp
Australia,Australia,AUS,8447,8447,23,169,41.3339517079329,177.6757869780818,0.3502877263384144,10.508631790152432,195.46055129683523,3786.6103217182595,184.9519195066828,4.380749093838099,53,2024,AUD,3786.260033991921,69.92279205146353,8022
Austria,Austria,AUT,9877,9877,22,164,62.45775426898751,258.63795740661755,0.5413005369978917,13.865621447715226,299.79722049114,5218.692356697623,285.9315990434248,4.329041197118049,4,2024,EUR,5218.151056160625,92.15874269622844,9517
Bahrain,Bahrajn,BHR,8003,8003,23,149,73.58499643489499,318.7821126837289,0.54507404766588885,19.077591668306106,364.65453788847964,6614.47356842556,345.5769462201735,4.472078836227124,3,2025,BHD,6613.928494377894,123.67664252990673,7764
Belgium,Belgia,BEL,9543,9543,22,164,53.17996232199669,239.51178947806523,0.38555472683447606,13.281695589918675,264.57031255193357,4784.867109921653,251.28861696201488,4.376314542870677,58,2024,EUR,4784.481555194818,84.52050333669231,9277
Canada,Kanada,CAN,7944,7944,21,165,40.29323806937367,174.26992643393686,0.20146619034686836,10.46818325042328,177.29024750524414,4923.833692077463,166.82206425482087,4.380067758328628,55,2024,CAD,4923.632225887116,70.55697202425829,7023
Chile,Chile,CHL,6903,6903,21,153,75.26737794905287,255.60604751786352,0.4302222232012168,21.48960004890078,314.0192007145681,4065.5784981403385,292.5296006656673,4.704841713221602,7,2024,CLP,4065.148275917137,123.84889182975773,6624
Colombia,Kolumbia,COL,5181,5181,21,141,84.28901649804048,299.107476184249,0.641942659689669,25.93059288988875,324.206980220442,6484.262805525346,298.27638733055323,4.709070237493684,7,2024,COP,6483.620862865657,181.29901729765677,4951
Croatia,Chorwacja,HRV,8971,8971,22,165,80.94384208101636,293.66446391239685,0.5869896024879906,20.220779754672503,362.3142718805183,7284.743377083717,342.0934921258458,4.383743169398907,59,2024,EUR,7284.156387481229,113.09650117260767,8756
Czech_Republic,Czechy,CZE,9165,9165,23,169,59.33113705750925,257.6640182897107,0.34900668857358386,13.890466205228636,302.2397923047236,6344.941598267754,288.349326099495,4.738215061549602,9,2024,CZK,6344.59259157918,99.2927684664982,8841
Denmark,Dania,DNK,9496,9496,22,170,44.201926819644754,192.2945037557326,0.4434975935081414,11.087439837703535,221.74879675407067,4198.443885210405,210.66135691636714,4.367618367832501,57,2024,DKK,4198.000387616897,69.17544833789759,9171
