iso3,ppp_year,ppp_lcu_per_int_dollar
GTM,2025,3.43217668006576
GUM,2021,1.11213398346611
GUY,2025,96.7459336722914
HKG,2025,5.76759042860516
HND,2025,12.6170007962755
HRV,2024,0.494046229730165
HTI,2025,133.532589656197
HUN,2024,189.314181
IDN,2025,5065.96899445832
IND,2025,19.8004481525548
IRL,2024,0.88195
IRN,2025,157796.048482441
IRQ,2024,477.800370745559
ISL,2024,156.026237
ISR,2024,3.607983
ITA,2024,0.625157
JAM,2025,98.2417402226466
JOR,2025,0.318288385857299
JPN,2024,99.384798
KAZ,2025,190.98276551719
KEN,2025,44.9843049377462
KGZ,2025,29.321586132952
KHM,2024,1477.79371997862
KIR,2024,0.934430185468443
KNA,2023,2.14611782745287
KOR,2024,872.468736
KWT,2025,0.183187259430518
LAO,2025,5870.11046725055
LBN,2025,58470.1387395489
LBR,2025,0.533478423712667
LBY,2024,1.80756131142362
LCA,2024,1.56989680038429
LKA,2025,81.132321829585
LSO,2025,6.23295294045793
LTU,2024,0.526455
LUX,2024,0.845038
LVA,2024,0.533129
MAC,2025,4.94685847656749
MAR,2025,3.95964860930539
MDA,2025,8.77294960538386
MDG,2024,1250.22683733718
MDV,2025,9.57883742468372
MEX,2024,10.801299
MHL,2021,0.952069344766988
MKD,2024,21.4629743060705
MLI,2025,193.448767309698
MLT,2024,0.583854411812115
MMR,2021,499.697723388672
MNE,2024,0.413914697443502
MNG,2025,1180.72494007661
MNP,2021,0.937482775701845
MOZ,2025,25.4989140443101
MRT,2025,12.1923421371597
MUS,2025,20.1054902867368
MWI,2025,627.1674087801
MYS,2025,1.43063372521878
NAM,2025,7.37916795801798
NCL,2021,116.089539203239
NER,2025,199.580023538794
NGA,2025,362.301242150832
NIC,2025,13.5337691271877
NLD,2024,0.74195
NOR,2024,9.540077
NPL,2025,35.2703228981619
NRU,2021,1.14345096549451
NZL,2024,1.499938
OMN,2025,0.181864783148751
PAK,2025,65.384493890586
PAN,2024,0.511074411429361
PER,2025,1.92703167944648
PHL,2025,20.5335464484261
PLW,2025,0.963317720533901
PNG,2025,2.76190379488816
POL,2024,2.008043
PRI,2021,0.896932303905487
PRT,2024,0.558749
